Our our
children child_NNS
and and_CC
grandkids grandkid_NNS
are be_VBP
being be_VBG
indoctrinated indoctrinate_VBN
in in_IN
ways way_NNS
we we_PP
can can_MD
hardly hardly_RB
imagine imagine_VB
- -_NN
TV tv_NN
, ,
internet internet_NN
, ,
school school_NN
, ,
TikTok tiktok_NP
, ,
bad bad_JJ
teachers teacher_NNS
, ,
bad bad_JJ
parents parent_NNS
. .
. .
. .
We we_PP
have have_VBP
to to_TO
fight fight_VB
back back_RB
by by_IN
arming arm_VBG
them them_PP
with with_IN
the the_DT
FACTS facts_NP
. .
Tap tap_VB
the the_DT
link link_NN
below below_RB
to to_TO
get get_VB
your your
free free_JJ
Kids kids_NP
Guide guide_NP
to to_TO
Fighting fighting_NP
Indoctrination indoctrination_NN
. .
This this_DT
will will_MD
give give_VB
your your
kids kid_NNS
the the_DT
tools tool_NNS
they they_PP
need need_VBP
to to_TO
not not_RB
become become_VB
rabid rabid_JJ
: :
/ /
/ /
